odometry = [0.00, 0.00,0.00; 
0.03, 0.00,0.06; 
0.07, 0.00,0.09; 
0.11, 0.01,0.12; 
0.15, 0.01,0.17; 
0.19, 0.02,0.21; 
0.23, 0.03,0.21; 
0.27, 0.04,0.21; 
0.31, 0.05,0.23; 
0.35, 0.06,0.23; 
0.39, 0.07,0.23; 
0.43, 0.07,0.21; 
0.47, 0.08,0.22; 
0.51, 0.09,0.23; 
0.54, 0.10,0.23; 
0.58, 0.11,0.21; 
0.62, 0.12,0.22; 
0.66, 0.13,0.23; 
0.70, 0.14,0.23; 
0.74, 0.15,0.21; 
0.78, 0.15,0.22; 
0.82, 0.16,0.21; 
0.86, 0.17,0.17; 
0.90, 0.18,0.12; 
0.94, 0.18,0.10; 
0.98, 0.18,0.09; 
1.02, 0.19,0.06; 
1.06, 0.19,0.01; 
1.10, 0.19,-0.02; 
1.14, 0.19,-0.03; 
1.18, 0.19,-0.06; 
1.22, 0.18,-0.10; 
1.26, 0.18,-0.13; 
1.30, 0.17,-0.15; 
1.34, 0.17,-0.17; 
1.38, 0.16,-0.21; 
1.42, 0.15,-0.22; 
1.46, 0.14,-0.19; 
1.50, 0.13,-0.13; 
1.54, 0.13,-0.10; 
1.58, 0.13,-0.06; 
1.62, 0.12,-0.01; 
1.66, 0.13,0.05; 
1.70, 0.13,0.07; 
1.74, 0.13,0.11; 
1.78, 0.14,0.17; 
1.82, 0.15,0.21; 
1.86, 0.15,0.20; 
1.90, 0.16,0.22; 
1.94, 0.17,0.23; 
1.95, 0.17,0.21; 
1.95, 0.17,0.21; 
1.95, 0.17,0.22; 
1.95, 0.17,0.22; 
1.95, 0.17,0.22; 
1.96, 0.17,0.43; 
1.96, 0.18,0.72; 
1.96, 0.18,1.00; 
1.96, 0.18,1.28; 
1.96, 0.18,1.57; 
