odometry = [0.01, -0.00,-0.02; 
0.20, 0.20,0.01; 
0.20, 0.20,0.16; 
0.21, 0.20,0.36; 
0.21, 0.20,0.55; 
0.21, 0.20,0.74; 
0.21, 0.20,0.93; 
0.21, 0.21,1.12; 
0.21, 0.21,1.32; 
0.21, 0.21,1.51; 
0.21, 0.22,1.62; 
0.21, 0.24,1.63; 
0.21, 0.26,1.64; 
0.21, 0.29,1.64; 
0.21, 0.31,1.64; 
0.21, 0.33,1.64; 
0.20, 0.35,1.64; 
0.20, 0.37,1.63; 
0.20, 0.39,1.63; 
0.20, 0.41,1.63; 
0.20, 0.43,1.64; 
0.20, 0.45,1.64; 
0.20, 0.47,1.64; 
0.20, 0.49,1.64; 
0.19, 0.52,1.64; 
0.19, 0.54,1.63; 
0.19, 0.56,1.63; 
0.19, 0.58,1.64; 
0.19, 0.59,1.61; 
0.19, 0.60,1.58; 
0.19, 0.63,1.59; 
0.19, 0.65,1.59; 
0.19, 0.67,1.59; 
0.19, 0.69,1.58; 
0.19, 0.71,1.58; 
0.19, 0.73,1.58; 
0.19, 0.75,1.59; 
0.19, 0.77,1.59; 
0.19, 0.79,1.59; 
0.19, 0.82,1.59; 
0.18, 0.84,1.59; 
0.18, 0.86,1.58; 
0.18, 0.88,1.58; 
0.18, 0.90,1.58; 
0.18, 0.92,1.59; 
0.18, 0.94,1.59; 
0.18, 0.96,1.59; 
0.18, 0.98,1.59; 
0.18, 1.00,1.56; 
0.18, 1.02,1.59; 
0.18, 1.04,1.59; 
0.18, 1.06,1.60; 
0.18, 1.08,1.60; 
0.18, 1.10,1.60; 
0.18, 1.12,1.60; 
0.18, 1.14,1.60; 
0.18, 1.16,1.59; 
0.18, 1.18,1.59; 
0.18, 1.21,1.59; 
0.18, 1.23,1.60; 
0.18, 1.25,1.60; 
0.18, 1.27,1.60; 
0.18, 1.29,1.60; 
0.17, 1.31,1.60; 
0.17, 1.33,1.60; 
0.17, 1.35,1.59; 
0.17, 1.37,1.59; 
0.17, 1.39,1.58; 
0.17, 1.41,1.59; 
0.17, 1.43,1.61; 
0.17, 1.45,1.60; 
0.17, 1.47,1.60; 
0.17, 1.49,1.60; 
0.17, 1.51,1.60; 
0.17, 1.53,1.59; 
0.17, 1.55,1.60; 
0.17, 1.58,1.60; 
0.17, 1.60,1.60; 
0.17, 1.62,1.61; 
0.17, 1.64,1.60; 
0.17, 1.66,1.60; 
0.17, 1.68,1.59; 
0.16, 1.70,1.59; 
0.16, 1.72,1.60; 
0.16, 1.74,1.60; 
0.16, 1.76,1.60; 
0.16, 1.79,1.61; 
0.16, 1.79,1.52; 
0.16, 1.79,1.40; 
0.16, 1.80,1.22; 
0.16, 1.80,1.04; 
0.16, 1.80,0.86; 
0.17, 1.80,0.67; 
0.17, 1.80,0.49; 
0.17, 1.80,0.32; 
0.17, 1.80,0.14; 
0.18, 1.80,-0.02; 
0.20, 1.80,-0.04; 
0.22, 1.80,-0.04; 
0.24, 1.80,-0.05; 
0.26, 1.80,-0.05; 
0.28, 1.80,-0.06; 
0.30, 1.80,-0.05; 
0.32, 1.80,-0.06; 
0.34, 1.80,-0.06; 
0.37, 1.79,-0.05; 
0.39, 1.79,-0.05; 
0.41, 1.79,-0.05; 
0.43, 1.79,-0.05; 
0.45, 1.79,-0.05; 
0.47, 1.79,-0.06; 
0.49, 1.79,-0.06; 
0.51, 1.79,-0.05; 
0.53, 1.79,-0.05; 
0.55, 1.78,-0.05; 
0.58, 1.78,-0.05; 
0.59, 1.78,-0.05; 
0.60, 1.78,0.01; 
0.62, 1.78,0.00; 
0.65, 1.78,-0.00; 
0.67, 1.78,-0.00; 
0.69, 1.78,0.00; 
0.71, 1.78,0.01; 
0.73, 1.78,0.01; 
0.75, 1.78,0.00; 
0.77, 1.78,0.00; 
0.79, 1.78,-0.00; 
0.81, 1.78,-0.00; 
0.83, 1.78,-0.00; 
0.86, 1.78,0.01; 
0.88, 1.78,0.01; 
0.90, 1.78,0.00; 
0.92, 1.78,0.00; 
0.94, 1.78,0.00; 
0.96, 1.78,-0.00; 
0.98, 1.78,-0.00; 
1.00, 1.78,0.00; 
1.02, 1.78,0.02; 
1.04, 1.78,0.02; 
1.06, 1.79,0.02; 
1.08, 1.79,0.02; 
1.10, 1.79,0.02; 
1.12, 1.79,0.01; 
1.14, 1.79,0.01; 
1.16, 1.79,0.02; 
1.19, 1.79,0.03; 
1.21, 1.79,0.02; 
1.23, 1.79,0.02; 
1.25, 1.79,0.01; 
1.27, 1.79,0.02; 
1.29, 1.79,0.01; 
1.31, 1.79,0.01; 
1.33, 1.79,0.02; 
1.35, 1.79,0.02; 
1.38, 1.79,0.02; 
1.39, 1.79,0.01; 
1.41, 1.79,0.01; 
1.43, 1.79,0.02; 
1.45, 1.79,0.02; 
1.47, 1.79,0.02; 
1.49, 1.79,0.03; 
1.51, 1.79,0.03; 
1.53, 1.79,0.03; 
1.56, 1.80,0.03; 
1.58, 1.80,0.02; 
1.60, 1.80,0.03; 
1.62, 1.80,0.02; 
1.64, 1.80,0.02; 
1.66, 1.80,0.03; 
1.68, 1.80,0.04; 
1.70, 1.80,0.03; 
1.73, 1.80,0.03; 
1.75, 1.80,0.03; 
1.77, 1.80,0.03; 
1.79, 1.80,0.02; 
1.80, 1.80,0.00; 
1.82, 1.80,0.03; 
1.84, 1.80,0.03; 
1.86, 1.80,0.03; 
1.89, 1.80,0.03; 
1.91, 1.80,0.02; 
1.93, 1.81,0.02; 
1.95, 1.81,0.02; 
1.97, 1.81,0.02; 
1.99, 1.81,0.03; 
2.01, 1.81,0.03; 
2.03, 1.81,0.03; 
2.05, 1.81,0.03; 
2.07, 1.81,0.02; 
2.10, 1.81,0.02; 
2.12, 1.81,0.02; 
2.14, 1.81,0.02; 
2.16, 1.81,0.03; 
2.18, 1.81,0.03; 
2.20, 1.81,-0.01; 
2.21, 1.81,0.03; 
2.23, 1.81,0.03; 
2.26, 1.81,0.04; 
2.28, 1.81,0.02; 
2.30, 1.82,0.03; 
2.32, 1.82,0.04; 
2.34, 1.82,0.04; 
2.36, 1.82,0.04; 
2.38, 1.82,0.03; 
2.40, 1.82,0.03; 
2.42, 1.82,0.03; 
2.45, 1.82,0.03; 
2.47, 1.82,0.03; 
2.49, 1.82,0.04; 
2.51, 1.82,0.04; 
2.53, 1.82,0.04; 
2.55, 1.82,0.03; 
2.57, 1.83,0.03; 
2.59, 1.83,0.03; 
2.59, 1.83,-0.08; 
2.59, 1.83,-0.23; 
2.60, 1.82,-0.40; 
2.60, 1.82,-0.59; 
2.60, 1.82,-0.77; 
2.60, 1.82,-0.95; 
2.60, 1.82,-1.13; 
2.60, 1.82,-1.32; 
2.60, 1.81,-1.50; 
2.60, 1.81,-1.69; 
2.60, 1.81,-1.86; 
2.60, 1.81,-2.05; 
2.60, 1.81,-2.22; 
2.60, 1.80,-2.40; 
2.60, 1.80,-2.59; 
2.60, 1.80,-2.77; 
2.59, 1.80,-2.95; 
