odometry = [0.20, 0.20,0.00; 
0.20, 0.20,0.00; 
0.20, 0.20,0.00; 
0.20, 0.20,0.00; 
0.20, 0.20,0.00; 
0.20, 0.20,0.00; 
0.21, 0.20,0.14; 
0.21, 0.20,0.42; 
0.21, 0.20,0.71; 
0.21, 0.20,1.00; 
0.21, 0.21,1.29; 
0.21, 0.21,1.57; 
0.21, 0.22,1.66; 
0.21, 0.25,1.62; 
0.21, 0.27,1.59; 
0.21, 0.29,1.55; 
0.21, 0.31,1.57; 
0.21, 0.33,1.60; 
0.21, 0.35,1.57; 
0.21, 0.38,1.54; 
0.21, 0.40,1.59; 
0.21, 0.42,1.59; 
0.21, 0.44,1.55; 
0.21, 0.46,1.56; 
0.21, 0.48,1.61; 
0.21, 0.51,1.58; 
0.21, 0.53,1.56; 
0.21, 0.55,1.55; 
0.21, 0.57,1.60; 
0.21, 0.59,1.58; 
0.21, 0.61,1.47; 
0.21, 0.63,1.50; 
0.21, 0.66,1.56; 
0.21, 0.68,1.60; 
0.21, 0.70,1.58; 
0.21, 0.72,1.55; 
0.21, 0.74,1.57; 
0.21, 0.76,1.60; 
0.21, 0.78,1.56; 
0.21, 0.80,1.56; 
0.21, 0.83,1.60; 
0.21, 0.85,1.58; 
0.21, 0.87,1.56; 
0.21, 0.89,1.55; 
0.21, 0.91,1.60; 
0.21, 0.94,1.57; 
0.21, 0.96,1.54; 
0.21, 0.98,1.60; 
0.21, 1.00,1.56; 
0.21, 1.01,1.49; 
0.21, 1.04,1.54; 
0.21, 1.06,1.58; 
0.21, 1.08,1.59; 
0.21, 1.10,1.54; 
0.21, 1.12,1.57; 
0.21, 1.15,1.60; 
0.21, 1.17,1.57; 
0.21, 1.19,1.54; 
0.21, 1.21,1.57; 
0.21, 1.23,1.60; 
0.21, 1.25,1.57; 
0.21, 1.27,1.54; 
0.21, 1.30,1.59; 
0.21, 1.32,1.59; 
0.21, 1.34,1.56; 
0.21, 1.36,1.54; 
0.21, 1.39,1.59; 
0.21, 1.40,1.50; 
0.22, 1.42,1.50; 
0.22, 1.44,1.52; 
0.22, 1.46,1.58; 
0.22, 1.49,1.60; 
0.22, 1.51,1.58; 
0.22, 1.53,1.55; 
0.22, 1.55,1.57; 
0.22, 1.57,1.60; 
0.22, 1.59,1.56; 
0.22, 1.62,1.56; 
0.22, 1.64,1.60; 
0.22, 1.66,1.58; 
0.22, 1.68,1.55; 
0.22, 1.70,1.57; 
0.22, 1.73,1.60; 
0.22, 1.75,1.56; 
0.22, 1.77,1.55; 
0.22, 1.79,1.60; 
0.22, 1.80,1.42; 
0.22, 1.80,1.17; 
0.22, 1.80,0.91; 
0.22, 1.80,0.67; 
0.22, 1.80,0.42; 
0.22, 1.80,0.19; 
0.23, 1.80,-0.06; 
0.25, 1.80,-0.09; 
0.27, 1.80,-0.05; 
0.30, 1.80,-0.00; 
0.32, 1.80,0.03; 
0.34, 1.80,0.01; 
0.36, 1.80,-0.02; 
0.38, 1.80,-0.00; 
0.40, 1.80,0.03; 
0.43, 1.80,-0.01; 
0.45, 1.80,-0.02; 
0.47, 1.80,0.03; 
0.49, 1.80,0.02; 
0.51, 1.80,-0.00; 
0.53, 1.80,-0.02; 
0.55, 1.80,0.03; 
0.58, 1.80,0.01; 
0.59, 1.80,-0.03; 
0.61, 1.80,0.11; 
0.63, 1.80,0.09; 
0.65, 1.81,0.06; 
0.67, 1.81,0.04; 
0.70, 1.81,0.01; 
0.72, 1.81,-0.02; 
0.74, 1.81,0.00; 
0.76, 1.81,0.02; 
0.78, 1.81,-0.00; 
0.80, 1.81,-0.02; 
0.83, 1.81,0.03; 
0.85, 1.81,0.02; 
0.87, 1.81,-0.01; 
0.89, 1.81,-0.01; 
0.91, 1.81,0.03; 
0.93, 1.81,0.00; 
0.96, 1.81,-0.02; 
0.98, 1.81,0.01; 
1.00, 1.81,0.01; 
1.01, 1.81,-0.08; 
1.03, 1.81,-0.04; 
1.06, 1.81,-0.00; 
1.08, 1.81,0.03; 
1.10, 1.81,0.00; 
1.12, 1.81,-0.03; 
1.14, 1.81,0.01; 
1.16, 1.81,0.03; 
1.19, 1.81,-0.00; 
1.21, 1.81,-0.02; 
1.23, 1.81,0.02; 
1.25, 1.81,0.01; 
1.27, 1.81,-0.01; 
1.29, 1.81,-0.01; 
1.31, 1.81,0.03; 
1.34, 1.81,0.01; 
1.36, 1.81,-0.02; 
1.38, 1.81,0.00; 
1.39, 1.81,-0.01; 
1.41, 1.81,-0.07; 
1.44, 1.80,-0.03; 
1.46, 1.80,0.02; 
1.48, 1.80,0.02; 
1.50, 1.80,-0.00; 
